Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
82,Entry short,2026-01-09 09:35,sl1|setup=orb_break|side=short|grade=B|size=half|score=4|window=open|tier=neutral|rvol=1.072285|rs_vs_spy=-0.564107|gap_atr=0.013533|ext_atr=0.148508|risk_atr=0.167287,258.07,67,17290.69,60.3,0.35,0,123.95,0.72,-31.49,-0.18,-1509.12,-6.04,5
83,Exit short,2026-01-12 09:45,sl1|exit_reason=stop|mfe_r=0.499948,258.19,55,14148.2,-52.25,-0.37,0,23.65,0.17,-52.25,-0.37,-1561.37,-6.25,2
83,Entry short,2026-01-12 09:35,sl1|setup=orb_break|side=short|grade=B|size=half|score=4|window=open|tier=neutral|rvol=1.262518|rs_vs_spy=-1.079668|gap_atr=-0.003408|ext_atr=0.25554|risk_atr=0.204479,257.24,55,14148.2,-52.25,-0.37,0,23.65,0.17,-52.25,-0.37,-1561.37,-6.25,2
84,Exit long,2026-01-13 09:45,sl1|exit_reason=stop|mfe_r=0.005812,259.86,29,7587.27,-51.33,-0.68,0,0,0.00,-51.33,-0.68,-1612.7,-6.45,2
84,Entry long,2026-01-13 09:35,sl1|setup=orb_break|side=long|grade=B|size=half|score=3|window=open|tier=neutral|rvol=1.088916|rs_vs_spy=1.072871|gap_atr=-0.335685|ext_atr=0.315242|risk_atr=0.390222,261.63,29,7587.27,-51.33,-0.68,0,0,0.00,-51.33,-0.68,-1612.7,-6.45,2
85,Exit long,2026-01-13 10:15,sl1|exit_reason=stop|mfe_r=0.510332,259.85,141,36695.25,-56.4,-0.15,0,22.56,0.06,-56.4,-0.15,-1669.1,-6.68,2
85,Entry long,2026-01-13 10:05,sl1|setup=vwap_reclaim|side=long|grade=B|size=half|score=3|window=open|tier=neutral|rvol=0.808736|rs_vs_spy=0.860125|gap_atr=-0.335685|ext_atr=0.012174|risk_atr=0.08,260.25,141,36695.25,-56.4,-0.15,0,22.56,0.06,-56.4,-0.15,-1669.1,-6.68,2
86,Exit long,2026-01-14 10:40,sl1|exit_reason=time|mfe_r=0.345761,259.45,28,7290.36,-25.76,-0.35,0,16.24,0.22,-31.08,-0.43,-1694.86,-6.78,6
86,Entry long,2026-01-14 10:10,sl1|setup=orb_fail|side=long|grade=B|size=half|score=2|window=open|tier=neutral|rvol=0.769355|rs_vs_spy=0.390754|gap_atr=-0.364202|ext_atr=0.051258|risk_atr=0.4,260.37,28,7290.36,-25.76,-0.35,0,16.24,0.22,-31.08,-0.43,-1694.86,-6.78,6
87,Exit long,2026-01-14 15:15,sl1|exit_reason=trail|mfe_r=2.722869,259.31,144,37261.44,79.2,0.21,0,132.48,0.36,-7.2,-0.02,-1615.66,-6.46,3
87,Entry long,2026-01-14 15:00,sl1|setup=vwap_reclaim|side=long|grade=B|size=half|score=3|window=power|tier=neutral|rvol=0.990507|rs_vs_spy=0.092547|gap_atr=-0.364202|ext_atr=0.024835|risk_atr=0.08,258.76,144,37261.44,79.2,0.21,0,132.48,0.36,-7.2,-0.02,-1615.66,-6.46,3
88,Exit long,2026-01-15 10:10,sl1|exit_reason=stop|mfe_r=0.284519,260.09,142,36989.58,-56.8,-0.15,0,11.36,0.03,-56.8,-0.15,-1672.46,-6.69,2
88,Entry long,2026-01-15 10:00,sl1|setup=vwap_reclaim|side=long|grade=B|size=half|score=4|window=open|tier=neutral|rvol=0.729081|rs_vs_spy=0.026513|gap_atr=0.198025|ext_atr=0.008276|risk_atr=0.08,260.49,142,36989.58,-56.8,-0.15,0,11.36,0.03,-56.8,-0.15,-1672.46,-6.69,2
89,Exit short,2026-01-15 15:05,sl1|exit_reason=time|mfe_r=0.329482,257.69,39,10054.2,4.29,0.04,0,15.6,0.16,-12.87,-0.13,-1668.17,-6.67,6
89,Entry short,2026-01-15 14:35,sl1|setup=lod_break|side=short|grade=B|size=half|score=4|window=power|tier=neutral|rvol=0.814759|rs_vs_spy=-0.959551|gap_atr=0.198025|ext_atr=0.452304|risk_atr=0.290147,257.8,39,10054.2,4.29,0.04,0,15.6,0.16,-12.87,-0.13,-1668.17,-6.67,6
90,Exit short,2026-01-16 10:05,sl1|exit_reason=stop|mfe_r=0.669964,257.24,139,35700.76,-55.6,-0.16,0,30.58,0.09,-55.6,-0.16,-1723.77,-6.90,2
90,Entry short,2026-01-16 09:55,sl1|setup=pdl_break|side=short|grade=B|size=half|score=4|window=open|tier=neutral|rvol=0.843972|rs_vs_spy=-0.182784|gap_atr=-0.082482|ext_atr=0.185251|risk_atr=0.082076,256.84,139,35700.76,-55.6,-0.16,0,30.58,0.09,-55.6,-0.16,-1723.77,-6.90,2
91,Exit short,2026-01-20 15:50,sl1|exit_reason=eod|mfe_r=3.558943,244.96,37,9180.44,116.92,1.27,0,173.53,1.89,-4.44,-0.05,-1606.85,-6.43,21
91,Entry short,2026-01-20 14:05,sl1|setup=lod_break|side=short|grade=B|size=half|score=4|window=power|tier=neutral|rvol=1.086417|rs_vs_spy=-1.447923|gap_atr=-0.601884|ext_atr=0.713817|risk_atr=0.305191,248.12,37,9180.44,116.92,1.27,0,173.53,1.89,-4.44,-0.05,-1606.85,-6.43,21
92,Exit short,2026-01-21 10:10,sl1|exit_reason=stop|mfe_r=0,246.82,127,31290.26,-55.88,-0.18,0,12.7,0.04,-55.88,-0.18,-1662.73,-6.65,1
92,Entry short,2026-01-21 10:05,sl1|setup=orb_break|side=short|grade=B|size=half|score=3|window=open|tier=neutral|rvol=1.02054|rs_vs_spy=-1.293686|gap_atr=0.374108|ext_atr=0.129263|risk_atr=0.08,246.38,127,31290.26,-55.88,-0.18,0,12.7,0.04,-55.88,-0.18,-1662.73,-6.65,1
93,Exit long,2026-01-22 10:50,sl1|exit_reason=stop|mfe_r=0.718056,249.17,78,19489.08,-53.82,-0.28,0,34.32,0.18,-53.82,-0.28,-1716.55,-6.87,11
