Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
347,Entry long,2026-09-04 15:35,sl1|setup=hod_break|side=long|grade=A|size=full|score=5|window=power|tier=core|rvol=1.725973|rs_vs_spy=4.141923|gap_atr=0.23204|ext_atr=0.188911|risk_atr=0.142056,1008.19,12,12098.28,45.48,0.38,0,54.24,0.45,-8.28,-0.07,-604.56,-2.42,3
348,Exit short,2026-09-08 09:45,sl1|exit_reason=stop|mfe_r=0,1018.99,5,5050.2,-44.75,-0.89,0,0,0.00,-44.75,-0.89,-649.31,-2.60,1
348,Entry short,2026-09-08 09:40,sl1|setup=orb_break|side=short|grade=B|size=half|score=3|window=open|tier=core|rvol=1.133068|rs_vs_spy=-2.322354|gap_atr=0.395877|ext_atr=0.24408|risk_atr=0.162326,1010.04,5,5050.2,-44.75,-0.89,0,0,0.00,-44.75,-0.89,-649.31,-2.60,1
349,Exit short,2026-09-08 15:35,sl1|exit_reason=time|mfe_r=0.173299,1008.02,5,5042.35,2.25,0.04,0,8.45,0.17,-14.85,-0.29,-647.06,-2.59,6
349,Entry short,2026-09-08 15:05,sl1|setup=lod_break|side=short|grade=B|size=half|score=3|window=power|tier=core|rvol=0.921632|rs_vs_spy=-2.416735|gap_atr=0.395877|ext_atr=0.206848|risk_atr=0.179929,1008.47,5,5042.35,2.25,0.04,0,8.45,0.17,-14.85,-0.29,-647.06,-2.59,6
350,Exit long,2026-09-09 10:15,sl1|exit_reason=trail|mfe_r=4.163416,1034.5,6,6058.08,148.92,2.46,0,196.26,3.24,-7.74,-0.13,-498.14,-1.99,7
350,Entry long,2026-09-09 09:40,sl1|setup=orb_break|side=long|grade=B|size=half|score=4|window=open|tier=core|rvol=0.717656|rs_vs_spy=1.112576|gap_atr=-0.027579|ext_atr=0.145022|risk_atr=0.145508,1009.68,6,6058.08,148.92,2.46,0,196.26,3.24,-7.74,-0.13,-498.14,-1.99,7
351,Exit long,2026-09-09 14:40,sl1|exit_reason=time|mfe_r=0.307718,1025.96,11,11287.54,-1.98,-0.02,0,14.41,0.13,-19.03,-0.17,-500.12,-2.00,6
351,Entry long,2026-09-09 14:10,sl1|setup=vwap_reclaim|side=long|grade=B|size=half|score=4|window=power|tier=core|rvol=1.095178|rs_vs_spy=2.936921|gap_atr=-0.027579|ext_atr=0.017005|risk_atr=0.08,1026.14,11,11287.54,-1.98,-0.02,0,14.41,0.13,-19.03,-0.17,-500.12,-2.00,6
352,Exit long,2026-09-09 15:50,sl1|exit_reason=eod|mfe_r=1.050407,1027.09,11,11280.28,17.71,0.16,0,49.72,0.44,-10.01,-0.09,-482.41,-1.93,8
352,Entry long,2026-09-09 15:10,sl1|setup=vwap_reclaim|side=long|grade=B|size=half|score=4|window=power|tier=core|rvol=1.033178|rs_vs_spy=2.797565|gap_atr=-0.027579|ext_atr=0.00517|risk_atr=0.08,1025.48,11,11280.28,17.71,0.16,0,49.72,0.44,-10.01,-0.09,-482.41,-1.93,8
353,Exit short,2026-09-10 10:20,sl1|exit_reason=time|mfe_r=0.330129,991.23,5,4929.9,-26.25,-0.53,0,14.9,0.30,-38.7,-0.79,-508.66,-2.03,6
353,Entry short,2026-09-10 09:50,sl1|setup=pdl_retest|side=short|grade=B|size=half|score=4|window=open|tier=core|rvol=1.116379|rs_vs_spy=-0.989476|gap_atr=-0.570637|ext_atr=0.086359|risk_atr=0.169077,985.98,5,4929.9,-26.25,-0.53,0,14.9,0.30,-38.7,-0.79,-508.66,-2.03,6
354,Exit short,2026-09-11 09:40,sl1|exit_reason=be|mfe_r=0.850294,978.17,5,4886.95,-3.9,-0.08,0,38.5,0.79,-20.1,-0.41,-512.56,-2.05,1
354,Entry short,2026-09-11 09:35,sl1|setup=orb_break|side=short|grade=B|size=half|score=4|window=open|tier=core|rvol=0.747929|rs_vs_spy=-1.700469|gap_atr=0.246076|ext_atr=0.142258|risk_atr=0.168808,977.39,5,4886.95,-3.9,-0.08,0,38.5,0.79,-20.1,-0.41,-512.56,-2.05,1
355,Exit short,2026-09-11 10:10,sl1|exit_reason=stop|mfe_r=0.674387,976.23,9,8738.46,-47.61,-0.54,0,31.68,0.36,-47.61,-0.54,-560.17,-2.24,2
355,Entry short,2026-09-11 10:00,sl1|setup=pdl_break|side=short|grade=B|size=half|score=4|window=open|tier=core|rvol=0.734463|rs_vs_spy=-2.334196|gap_atr=0.246076|ext_atr=0.172323|risk_atr=0.097598,970.94,9,8738.46,-47.61,-0.54,0,31.68,0.36,-47.61,-0.54,-560.17,-2.24,2
356,Exit short,2026-09-14 10:00,sl1|exit_reason=stop|mfe_r=0.202247,911.62,7,6333.25,-48.09,-0.76,0,9.52,0.15,-48.09,-0.76,-608.26,-2.43,2
356,Entry short,2026-09-14 09:50,sl1|setup=vwap_loss|side=short|grade=B|size=half|score=4|window=open|tier=core|rvol=1.25937|rs_vs_spy=-0.291899|gap_atr=-1.335178|ext_atr=0.081615|risk_atr=0.131615,904.75,7,6333.25,-48.09,-0.76,0,9.52,0.15,-48.09,-0.76,-608.26,-2.43,2
357,Exit short,2026-09-16 09:40,sl1|exit_reason=stop|mfe_r=0,928.65,12,11094,-49.8,-0.45,0,8.16,0.07,-49.8,-0.45,-658.06,-2.63,1
357,Entry short,2026-09-16 09:35,sl1|setup=orb_break|side=short|grade=B|size=half|score=4|window=open|tier=core|rvol=0.500514|rs_vs_spy=-0.947193|gap_atr=0.137836|ext_atr=0.094512|risk_atr=0.08,924.5,12,11094,-49.8,-0.45,0,8.16,0.07,-49.8,-0.45,-658.06,-2.63,1
358,Exit short,2026-09-16 10:10,sl1|exit_reason=stop|mfe_r=0.227051,932.94,9,8348.13,-48.33,-0.58,0,10.71,0.13,-48.33,-0.58,-706.39,-2.83,2
358,Entry short,2026-09-16 10:00,sl1|setup=vwap_loss|side=short|grade=B|size=half|score=4|window=open|tier=core|rvol=0.524908|rs_vs_spy=-0.737079|gap_atr=0.137836|ext_atr=0.053897|risk_atr=0.103897,927.57,9,8348.13,-48.33,-0.58,0,10.71,0.13,-48.33,-0.58,-706.39,-2.83,2
359,Exit long,2026-09-17 10:00,sl1|exit_reason=be|mfe_r=0.995218,978.77,6,5872.86,-0.24,0.00,0,44.34,0.75,-4.26,-0.07,-706.63,-2.83,4
359,Entry long,2026-09-17 09:40,sl1|setup=orb_break|side=long|grade=B|size=half|score=4|window=open|tier=core|rvol=1.461199|rs_vs_spy=2.85387|gap_atr=0.567001|ext_atr=0.149272|risk_atr=0.150989,978.81,6,5872.86,-0.24,0.00,0,44.34,0.75,-4.26,-0.07,-706.63,-2.83,4
360,Exit long,2026-09-17 15:35,sl1|exit_reason=time|mfe_r=0.326999,978.56,12,11734.44,8.28,0.07,0,15.24,0.13,-33.24,-0.28,-698.35,-2.79,6
360,Entry long,2026-09-17 15:05,sl1|setup=vwap_reclaim|side=long|grade=B|size=half|score=4|window=power|tier=core|rvol=0.930377|rs_vs_spy=2.512933|gap_atr=0.567001|ext_atr=0.021771|risk_atr=0.08,977.87,12,11734.44,8.28,0.07,0,15.24,0.13,-33.24,-0.28,-698.35,-2.79,6
361,Exit long,2026-09-18 09:45,sl1|exit_reason=be|mfe_r=0.865376,990.46,12,11886.12,-0.6,-0.01,0,41.28,0.35,-36.12,-0.30,-698.95,-2.80,2
361,Entry long,2026-09-18 09:35,sl1|setup=orb_break|side=long|grade=B|size=half|score=4|window=open|tier=core|rvol=0.670413|rs_vs_spy=0.701357|gap_atr=0.139659|ext_atr=0.071001|risk_atr=0.08,990.51,12,11886.12,-0.6,-0.01,0,41.28,0.35,-36.12,-0.30,-698.95,-2.80,2
362,Exit long,2026-09-18 14:30,sl1|exit_reason=time|mfe_r=0.196411,1004.47,5,5019.4,2.95,0.06,0,8.85,0.18,-15.3,-0.30,-696,-2.78,6
362,Entry long,2026-09-18 14:00,sl1|setup=hod_break|side=long|grade=B|size=half|score=4|window=power|tier=core|rvol=1.132653|rs_vs_spy=2.194447|gap_atr=0.139659|ext_atr=0.205678|risk_atr=0.182087,1003.88,5,5019.4,2.95,0.06,0,8.85,0.18,-15.3,-0.30,-696,-2.78,6
363,Exit long,2026-09-18 15:20,sl1|exit_reason=time|mfe_r=0.143951,1006.93,5,5042.5,-7.85,-0.16,0,6.15,0.12,-8.8,-0.17,-703.85,-2.82,6
363,Entry long,2026-09-18 14:50,sl1|setup=hod_break|side=long|grade=B|size=half|score=4|window=power|tier=core|rvol=1.22077|rs_vs_spy=2.455061|gap_atr=0.139659|ext_atr=0.263679|risk_atr=0.173496,1008.5,5,5042.5,-7.85,-0.16,0,6.15,0.12,-8.8,-0.17,-703.85,-2.82,6
364,Exit long,2026-09-21 09:45,sl1|exit_reason=be|mfe_r=0.833647,1057.47,5,5287.55,-0.2,0.00,0,34.8,0.66,-2.85,-0.05,-704.05,-2.82,2
364,Entry long,2026-09-21 09:35,sl1|setup=orb_break|side=long|grade=B|size=half|score=4|window=open|tier=core|rvol=1.210709|rs_vs_spy=1.194067|gap_atr=0.585502|ext_atr=0.176324|risk_atr=0.169983,1057.51,5,5287.55,-0.2,0.00,0,34.8,0.66,-2.85,-0.05,-704.05,-2.82,2
365,Exit long,2026-09-22 09:45,sl1|exit_reason=trail|mfe_r=2.614026,1057.61,11,11555.94,77.77,0.67,0,126.61,1.10,-1.87,-0.02,-626.28,-2.51,2
365,Entry long,2026-09-22 09:35,sl1|setup=orb_break|side=long|grade=B|size=half|score=4|window=open|tier=core|rvol=0.737495|rs_vs_spy=1.581598|gap_atr=-0.216594|ext_atr=0.118778|risk_atr=0.089621,1050.54,11,11555.94,77.77,0.67,0,126.61,1.10,-1.87,-0.02,-626.28,-2.51,2
366,Exit long,2026-09-22 14:45,sl1|exit_reason=time|mfe_r=0.187515,1087.72,6,6526.08,0.24,0.00,0,8.64,0.13,-15.42,-0.24,-626.04,-2.50,6
366,Entry long,2026-09-22 14:15,sl1|setup=hod_break|side=long|grade=B|size=half|score=4|window=power|tier=core|rvol=1.267756|rs_vs_spy=5.295047|gap_atr=-0.216594|ext_atr=0.298244|risk_atr=0.1582,1087.68,6,6526.08,0.24,0.00,0,8.64,0.13,-15.42,-0.24,-626.04,-2.50,6
367,Exit long,2026-09-22 15:35,sl1|exit_reason=time|mfe_r=0.152005,1094.61,5,5469,4.05,0.07,0,7,0.13,-16.45,-0.30,-621.99,-2.49,6
367,Entry long,2026-09-22 15:05,sl1|setup=hod_break|side=long|grade=B|size=half|score=4|window=power|tier=core|rvol=1.29661|rs_vs_spy=5.913423|gap_atr=-0.216594|ext_atr=0.384166|risk_atr=0.189811,1093.8,5,5469,4.05,0.07,0,7,0.13,-16.45,-0.30,-621.99,-2.49,6
368,Exit short,2026-09-24 10:00,sl1|exit_reason=stop|mfe_r=0.074385,1052.85,9,9425.61,-50.04,-0.53,0,3.51,0.04,-50.04,-0.53,-672.03,-2.69,2
368,Entry short,2026-09-24 09:50,sl1|setup=vwap_loss|side=short|grade=B|size=half|score=4|window=open|tier=core|rvol=0.654086|rs_vs_spy=-0.350234|gap_atr=-0.43497|ext_atr=0.060585|risk_atr=0.110585,1047.29,9,9425.61,-50.04,-0.53,0,3.51,0.04,-50.04,-0.53,-672.03,-2.69,2
