Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
239,Exit long,2026-06-29 15:50,sl1|exit_reason=stop|mfe_r=0.582448,564.76,30,16992.6,-49.8,-0.29,0,27.6,0.16,-49.8,-0.29,-1556.06,-6.22,2
239,Entry long,2026-06-29 15:40,sl1|setup=vwap_reclaim|side=long|grade=B|size=half|score=4|window=power|tier=core|rvol=0.809713|rs_vs_spy=0.554808|gap_atr=0.541563|ext_atr=0.036751|risk_atr=0.086751,566.42,30,16992.6,-49.8,-0.29,0,27.6,0.16,-49.8,-0.29,-1556.06,-6.22,2
240,Exit short,2026-06-30 10:15,sl1|exit_reason=stop|mfe_r=0,556.46,33,18312.36,-50.82,-0.28,0,1.98,0.01,-50.82,-0.28,-1606.88,-6.43,1
240,Entry short,2026-06-30 10:10,sl1|setup=orb_break|side=short|grade=B|size=half|score=4|window=open|tier=core|rvol=0.710897|rs_vs_spy=-1.489785|gap_atr=-0.050667|ext_atr=0.090918|risk_atr=0.08,554.92,33,18312.36,-50.82,-0.28,0,1.98,0.01,-50.82,-0.28,-1606.88,-6.43,1
241,Exit long,2026-07-01 09:40,sl1|exit_reason=stop|mfe_r=0,606.27,48,29202.72,-101.76,-0.35,0,98.88,0.34,-101.76,-0.35,-1708.64,-6.83,1
241,Entry long,2026-07-01 09:35,sl1|setup=orb_break|side=long|grade=A|size=full|score=5|window=open|tier=core|rvol=4.474367|rs_vs_spy=0.57518|gap_atr=2.340651|ext_atr=0.276181|risk_atr=0.112439,608.39,48,29202.72,-101.76,-0.35,0,98.88,0.34,-101.76,-0.35,-1708.64,-6.83,1
242,Exit short,2026-07-01 15:30,sl1|exit_reason=be|mfe_r=0.766915,615.6,33,20313.48,-1.32,-0.01,0,36.63,0.18,-47.19,-0.23,-1709.96,-6.84,3
242,Entry short,2026-07-01 15:15,sl1|setup=vwap_loss|side=short|grade=B|size=half|score=3|window=power|tier=core|rvol=3.655418|rs_vs_spy=1.182941|gap_atr=2.340651|ext_atr=0.005045|risk_atr=0.08,615.56,33,20313.48,-1.32,-0.01,0,36.63,0.18,-47.19,-0.23,-1709.96,-6.84,3
243,Exit short,2026-07-02 15:00,sl1|exit_reason=trail|mfe_r=3.320002,585.04,10,5955.7,105.3,1.77,0,151.1,2.54,-3,-0.05,-1604.66,-6.42,64
243,Entry short,2026-07-02 09:40,sl1|setup=orb_break|side=short|grade=B|size=half|score=4|window=open|tier=core|rvol=1.321484|rs_vs_spy=-2.287248|gap_atr=-0.252937|ext_atr=0.213542|risk_atr=0.20958,595.57,10,5955.7,105.3,1.77,0,151.1,2.54,-3,-0.05,-1604.66,-6.42,64
