Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
279,Exit short,2026-07-01 10:19,sl1|exit_reason=time,1084.32,7,7525.42,-64.82,-0.86,0,21.42,0.28,-88.83,-1.18,2797.14,2.80,20
279,Entry short,2026-07-01 09:59,sl1|ver=0.1.0|variant=baseline|cfg=ema9_atr14_buf0.1_chase1_win3_tgt1.5_hold20_t935-1500_ent2_loss2_dd2_dirboth_risk100|setup_id=ir:0.1.0:NASDAQ:MU:1:1782914220000:short|bars_to_confirm=2|signal_close=1075.27|trigger=1079.18|stop=1088.14|target_r=1.5|risk_ps=12.87|atr=6.428335|vwap_dist_atr=0.806347|tick=0.01,1075.06,7,7525.42,-64.82,-0.86,0,21.42,0.28,-88.83,-1.18,2797.14,2.80,20
280,Exit short,2026-07-01 10:28,sl1|exit_reason=target,1074.24,31,33448.38,146.94,0.44,0,146.94,0.44,-79.05,-0.24,2944.08,2.94,4
280,Entry short,2026-07-01 10:24,sl1|ver=0.1.0|variant=baseline|cfg=ema9_atr14_buf0.1_chase1_win3_tgt1.5_hold20_t935-1500_ent2_loss2_dd2_dirboth_risk100|setup_id=ir:0.1.0:NASDAQ:MU:1:1782915780000:short|bars_to_confirm=1|signal_close=1078.995|trigger=1079.1|stop=1082.14|target_r=1.5|risk_ps=3.145|atr=4.52607|vwap_dist_atr=0.295485|tick=0.01,1078.98,31,33448.38,146.94,0.44,0,146.94,0.44,-79.05,-0.24,2944.08,2.94,4
281,Exit long,2026-07-06 10:13,sl1|exit_reason=target,1013.01,12,12021.48,134.64,1.12,0,134.64,1.12,-15.24,-0.13,3078.72,3.08,5
281,Entry long,2026-07-06 10:08,sl1|ver=0.1.0|variant=baseline|cfg=ema9_atr14_buf0.1_chase1_win3_tgt1.5_hold20_t935-1500_ent2_loss2_dd2_dirboth_risk100|setup_id=ir:0.1.0:NASDAQ:MU:1:1783346820000:long|bars_to_confirm=1|signal_close=1002.035|trigger=1001.569|stop=994.31|target_r=1.5|risk_ps=7.725|atr=4.838738|vwap_dist_atr=0.432025|tick=0.01,1001.79,12,12021.48,134.64,1.12,0,134.64,1.12,-15.24,-0.13,3078.72,3.08,5
282,Exit short,2026-07-06 11:41,sl1|exit_reason=stop,1007.18,22,22060.06,-97.9,-0.44,0,0,0.00,-97.9,-0.44,2980.82,2.98,5
282,Entry short,2026-07-06 11:36,sl1|ver=0.1.0|variant=baseline|cfg=ema9_atr14_buf0.1_chase1_win3_tgt1.5_hold20_t935-1500_ent2_loss2_dd2_dirboth_risk100|setup_id=ir:0.1.0:NASDAQ:MU:1:1783352100000:short|bars_to_confirm=1|signal_close=1002.735|trigger=1003.61|stop=1007.17|target_r=1.5|risk_ps=4.435|atr=2.546593|vwap_dist_atr=0.696988|tick=0.01,1002.73,22,22060.06,-97.9,-0.44,0,0,0.00,-97.9,-0.44,2980.82,2.98,5
283,Exit long,2026-07-07 09:53,sl1|exit_reason=stop,916.46,10,9256.2,-91.6,-0.99,0,98.9,1.07,-91.6,-0.99,2889.22,2.89,13
283,Entry long,2026-07-07 09:40,sl1|ver=0.1.0|variant=baseline|cfg=ema9_atr14_buf0.1_chase1_win3_tgt1.5_hold20_t935-1500_ent2_loss2_dd2_dirboth_risk100|setup_id=ir:0.1.0:NASDAQ:MU:1:1783431420000:long|bars_to_confirm=3|signal_close=925.615|trigger=924.75|stop=916.47|target_r=1.5|risk_ps=9.145|atr=5.293152|vwap_dist_atr=0.791412|tick=0.01,925.62,10,9256.2,-91.6,-0.99,0,98.9,1.07,-91.6,-0.99,2889.22,2.89,13
284,Exit long,2026-07-07 10:10,sl1|exit_reason=stop,915.75,14,12914.16,-93.66,-0.73,0,49.84,0.39,-93.66,-0.73,2795.56,2.80,8
284,Entry long,2026-07-07 10:02,sl1|ver=0.1.0|variant=baseline|cfg=ema9_atr14_buf0.1_chase1_win3_tgt1.5_hold20_t935-1500_ent2_loss2_dd2_dirboth_risk100|setup_id=ir:0.1.0:NASDAQ:MU:1:1783432860000:long|bars_to_confirm=1|signal_close=922.79|trigger=922.34|stop=915.76|target_r=1.5|risk_ps=7.03|atr=5.210998|vwap_dist_atr=0.250633|tick=0.01,922.44,14,12914.16,-93.66,-0.73,0,49.84,0.39,-93.66,-0.73,2795.56,2.80,8
285,Exit short,2026-07-08 10:13,sl1|exit_reason=stop,944.28,16,15004.8,-103.68,-0.69,0,2.08,0.01,-103.68,-0.69,2691.88,2.69,0
285,Entry short,2026-07-08 10:13,sl1|ver=0.1.0|variant=baseline|cfg=ema9_atr14_buf0.1_chase1_win3_tgt1.5_hold20_t935-1500_ent2_loss2_dd2_dirboth_risk100|setup_id=ir:0.1.0:NASDAQ:MU:1:1783519920000:short|bars_to_confirm=1|signal_close=938.125|trigger=940.25|stop=944.27|target_r=1.5|risk_ps=6.145|atr=4.67816|vwap_dist_atr=0.882983|tick=0.01,937.8,16,15004.8,-103.68,-0.69,0,2.08,0.01,-103.68,-0.69,2691.88,2.69,0
286,Exit short,2026-07-08 10:43,sl1|exit_reason=target,934.19,20,18821.2,137.4,0.73,0,137.4,0.73,-25.4,-0.13,2829.28,2.83,2
286,Entry short,2026-07-08 10:41,sl1|ver=0.1.0|variant=baseline|cfg=ema9_atr14_buf0.1_chase1_win3_tgt1.5_hold20_t935-1500_ent2_loss2_dd2_dirboth_risk100|setup_id=ir:0.1.0:NASDAQ:MU:1:1783521600000:short|bars_to_confirm=1|signal_close=940.87|trigger=942.01|stop=945.64|target_r=1.5|risk_ps=4.77|atr=4.531923|vwap_dist_atr=0.506908|tick=0.01,941.06,20,18821.2,137.4,0.73,0,137.4,0.73,-25.4,-0.13,2829.28,2.83,2
287,Exit short,2026-07-09 11:06,sl1|exit_reason=stop,1020.06,20,20298.2,-103,-0.51,0,94.2,0.46,-103,-0.51,2726.28,2.73,14
