Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
327,Exit short,2026-08-19 10:20,sl1|exit_reason=trail|mfe_r=2.683856,218.5,10,2263.2,78.2,3.46,0,125.2,5.53,-10.3,-0.46,2620.24,10.48,9
327,Entry short,2026-08-19 09:35,sl1|setup=orb_break|side=short|grade=B|size=half|score=4|window=open|tier=neutral|rvol=1.232528|rs_vs_spy=-2.471784|gap_atr=-0.617714|ext_atr=0.173975|risk_atr=0.179378,226.32,10,2263.2,78.2,3.46,0,125.2,5.53,-10.3,-0.46,2620.24,10.48,9
328,Exit short,2026-08-19 14:40,sl1|exit_reason=trail|mfe_r=2.011387,221.41,23,5140.04,47.61,0.93,0,96.14,1.87,-26.68,-0.52,2667.85,10.67,8
328,Entry short,2026-08-19 14:00,sl1|setup=vwap_loss|side=short|grade=B|size=half|score=4|window=power|tier=neutral|rvol=1.371153|rs_vs_spy=-3.766878|gap_atr=-0.617714|ext_atr=0.030165|risk_atr=0.080165,223.48,23,5140.04,47.61,0.93,0,96.14,1.87,-26.68,-0.52,2667.85,10.67,8
329,Exit short,2026-08-20 09:55,sl1|exit_reason=be|mfe_r=0.867936,215.75,13,2804.23,-0.52,-0.02,0,40.17,1.43,-6.63,-0.24,2667.33,10.67,2
329,Entry short,2026-08-20 09:45,sl1|setup=orb_break|side=short|grade=B|size=half|score=4|window=open|tier=neutral|rvol=0.590853|rs_vs_spy=-3.306011|gap_atr=-0.045192|ext_atr=0.104741|risk_atr=0.134383,215.71,13,2804.23,-0.52,-0.02,0,40.17,1.43,-6.63,-0.24,2667.33,10.67,2
330,Exit long,2026-08-21 09:50,sl1|exit_reason=stop|mfe_r=0,226.33,11,2537.48,-47.85,-1.89,0,0,0.00,-47.85,-1.89,2619.48,10.48,1
330,Entry long,2026-08-21 09:45,sl1|setup=orb_break|side=long|grade=B|size=half|score=4|window=open|tier=neutral|rvol=0.572529|rs_vs_spy=1.97542|gap_atr=0.248176|ext_atr=0.126732|risk_atr=0.167742,230.68,11,2537.48,-47.85,-1.89,0,0,0.00,-47.85,-1.89,2619.48,10.48,1
331,Exit short,2026-08-21 15:40,sl1|exit_reason=time|mfe_r=0.076578,218.94,11,2399.98,-8.36,-0.35,0,3.52,0.15,-13.53,-0.56,2611.12,10.44,6
331,Entry short,2026-08-21 15:10,sl1|setup=lod_break|side=short|grade=B|size=half|score=4|window=power|tier=neutral|rvol=0.567648|rs_vs_spy=-3.663154|gap_atr=0.248176|ext_atr=0.210587|risk_atr=0.173388,218.18,11,2399.98,-8.36,-0.35,0,3.52,0.15,-13.53,-0.56,2611.12,10.44,6
332,Exit short,2026-08-24 11:30,sl1|exit_reason=stop|mfe_r=0.660862,207.78,14,2859.78,-49.14,-1.72,0,31.78,1.11,-49.14,-1.72,2561.98,10.25,23
332,Entry short,2026-08-24 09:35,sl1|setup=orb_break|side=short|grade=B|size=half|score=4|window=open|tier=neutral|rvol=0.695747|rs_vs_spy=-3.045|gap_atr=-0.322222|ext_atr=0.109484|risk_atr=0.140271,204.27,14,2859.78,-49.14,-1.72,0,31.78,1.11,-49.14,-1.72,2561.98,10.25,23
333,Exit long,2026-08-24 14:50,sl1|exit_reason=time|mfe_r=0.021052,211.93,13,2776.41,-21.32,-0.77,0,0.78,0.03,-22.1,-0.80,2540.66,10.16,6
333,Entry long,2026-08-24 14:20,sl1|setup=hod_break|side=long|grade=B|size=half|score=3|window=power|tier=neutral|rvol=0.559824|rs_vs_spy=1.176586|gap_atr=-0.322222|ext_atr=0.277834|risk_atr=0.153831,213.57,13,2776.41,-21.32,-0.77,0,0.78,0.03,-22.1,-0.80,2540.66,10.16,6
334,Exit short,2026-08-25 10:25,sl1|exit_reason=trail|mfe_r=1.660095,215.55,25,5419.5,30.75,0.57,0,79.75,1.47,-30.5,-0.56,2571.41,10.29,5
334,Entry short,2026-08-25 10:00,sl1|setup=vwap_loss|side=short|grade=B|size=half|score=3|window=open|tier=neutral|rvol=0.383726|rs_vs_spy=-0.487434|gap_atr=0.292715|ext_atr=0.029399|risk_atr=0.08,216.78,25,5419.5,30.75,0.57,0,79.75,1.47,-30.5,-0.56,2571.41,10.29,5
335,Exit long,2026-08-25 14:30,sl1|exit_reason=time|mfe_r=0.367072,222.37,17,3763.8,16.49,0.44,0,17.34,0.46,-9.52,-0.25,2587.9,10.35,6
335,Entry long,2026-08-25 14:00,sl1|setup=hod_break|side=long|grade=B|size=half|score=4|window=power|tier=neutral|rvol=0.413085|rs_vs_spy=1.695085|gap_atr=0.292715|ext_atr=0.135758|risk_atr=0.11722,221.4,17,3763.8,16.49,0.44,0,17.34,0.46,-9.52,-0.25,2587.9,10.35,6
336,Exit short,2026-08-27 09:50,sl1|exit_reason=stop|mfe_r=0,223.99,28,6220.48,-51.24,-0.82,0,0,0.00,-51.24,-0.82,2536.66,10.15,1
336,Entry short,2026-08-27 09:45,sl1|setup=orb_break|side=short|grade=B|size=half|score=3|window=open|tier=neutral|rvol=0.804559|rs_vs_spy=-0.639446|gap_atr=0.438714|ext_atr=0.079521|risk_atr=0.08,222.16,28,6220.48,-51.24,-0.82,0,0,0.00,-51.24,-0.82,2536.66,10.15,1
337,Exit short,2026-08-27 14:55,sl1|exit_reason=time|mfe_r=0.295684,215.77,17,3678.63,10.54,0.29,0,14.28,0.39,-23.97,-0.65,2547.2,10.19,6
337,Entry short,2026-08-27 14:25,sl1|setup=lod_break|side=short|grade=B|size=half|score=3|window=power|tier=neutral|rvol=0.790336|rs_vs_spy=-3.399329|gap_atr=0.438714|ext_atr=0.223912|risk_atr=0.130604,216.39,17,3678.63,10.54,0.29,0,14.28,0.39,-23.97,-0.65,2547.2,10.19,6
338,Exit short,2026-08-28 10:15,sl1|exit_reason=trail|mfe_r=2.438326,208.43,27,5697.81,70.2,1.23,0,120.42,2.11,-15.93,-0.28,2617.4,10.47,7
338,Entry short,2026-08-28 09:40,sl1|setup=vwap_loss|side=short|grade=B|size=half|score=4|window=open|tier=neutral|rvol=0.57773|rs_vs_spy=-0.439419|gap_atr=-0.302491|ext_atr=0.034593|risk_atr=0.084593,211.03,27,5697.81,70.2,1.23,0,120.42,2.11,-15.93,-0.28,2617.4,10.47,7
339,Exit short,2026-08-28 14:55,sl1|exit_reason=time|mfe_r=0.026528,206.22,18,3699.9,-12.06,-0.33,0,0.9,0.02,-21.24,-0.57,2605.34,10.42,6
339,Entry short,2026-08-28 14:25,sl1|setup=lod_break|side=short|grade=B|size=half|score=4|window=power|tier=neutral|rvol=0.775133|rs_vs_spy=-2.566099|gap_atr=-0.302491|ext_atr=0.169031|risk_atr=0.12149,205.55,18,3699.9,-12.06,-0.33,0,0.9,0.02,-21.24,-0.57,2605.34,10.42,6
340,Exit short,2026-08-31 09:45,sl1|exit_reason=stop|mfe_r=0.22224,206.57,24,4908,-49.68,-1.01,0,10.32,0.21,-49.68,-1.01,2555.66,10.22,2
340,Entry short,2026-08-31 09:35,sl1|setup=pdl_break|side=short|grade=B|size=half|score=4|window=open|tier=neutral|rvol=0.537346|rs_vs_spy=-0.35177|gap_atr=-0.16922|ext_atr=0.084571|risk_atr=0.095978,204.5,24,4908,-49.68,-1.01,0,10.32,0.21,-49.68,-1.01,2555.66,10.22,2
341,Exit short,2026-08-31 10:35,sl1|exit_reason=be|mfe_r=1.161312,203.48,29,5899.76,-1.16,-0.02,0,56.26,0.95,-12.76,-0.22,2554.5,10.22,6
341,Entry short,2026-08-31 10:05,sl1|setup=orb_break|side=short|grade=B|size=half|score=4|window=open|tier=neutral|rvol=0.468478|rs_vs_spy=-0.759412|gap_atr=-0.16922|ext_atr=0.086729|risk_atr=0.08,203.44,29,5899.76,-1.16,-0.02,0,56.26,0.95,-12.76,-0.22,2554.5,10.22,6
342,Exit short,2026-08-31 15:50,sl1|exit_reason=stop|mfe_r=0.159977,205.96,29,5922.67,-50.17,-0.85,0,7.25,0.12,-50.17,-0.85,2504.33,10.02,5
342,Entry short,2026-08-31 15:25,sl1|setup=vwap_loss|side=short|grade=B|size=half|score=4|window=power|tier=neutral|rvol=0.443685|rs_vs_spy=-0.522907|gap_atr=-0.16922|ext_atr=0.00738|risk_atr=0.08,204.23,29,5922.67,-50.17,-0.85,0,7.25,0.12,-50.17,-0.85,2504.33,10.02,5
343,Exit short,2026-09-01 09:45,sl1|exit_reason=be|mfe_r=1.269336,196.96,31,6104.52,-1.24,-0.02,0,62.62,1.03,-7.75,-0.13,2503.09,10.01,2
343,Entry short,2026-09-01 09:35,sl1|setup=orb_break|side=short|grade=B|size=half|score=4|window=open|tier=neutral|rvol=1.133124|rs_vs_spy=-1.450237|gap_atr=-0.320779|ext_atr=0.071566|risk_atr=0.08,196.92,31,6104.52,-1.24,-0.02,0,62.62,1.03,-7.75,-0.13,2503.09,10.01,2
344,Exit long,2026-09-02 09:55,sl1|exit_reason=stop|mfe_r=0.67831,196.9,13,2607.8,-48.1,-1.84,0,31.98,1.23,-48.1,-1.84,2454.99,9.82,4
344,Entry long,2026-09-02 09:35,sl1|setup=orb_break|side=long|grade=B|size=half|score=4|window=open|tier=neutral|rvol=0.4337|rs_vs_spy=2.577478|gap_atr=-0.202839|ext_atr=0.144972|risk_atr=0.187275,200.6,13,2607.8,-48.1,-1.84,0,31.98,1.23,-48.1,-1.84,2454.99,9.82,4
345,Exit long,2026-09-02 15:00,sl1|exit_reason=be|mfe_r=0.859201,203.41,31,6306.95,-1.24,-0.02,0,42.16,0.67,-10.54,-0.17,2453.75,9.82,9
345,Entry long,2026-09-02 14:15,sl1|setup=pdh_break|side=long|grade=B|size=half|score=4|window=power|tier=neutral|rvol=0.494181|rs_vs_spy=3.621838|gap_atr=-0.202839|ext_atr=0.167237|risk_atr=0.08227,203.45,31,6306.95,-1.24,-0.02,0,42.16,0.67,-10.54,-0.17,2453.75,9.82,9
346,Exit long,2026-09-03 15:05,sl1|exit_reason=time|mfe_r=0.301852,210.21,26,5459.48,5.98,0.11,0,14.56,0.27,-9.36,-0.17,2459.73,9.84,6
346,Entry long,2026-09-03 14:35,sl1|setup=hod_break|side=long|grade=B|size=half|score=4|window=power|tier=neutral|rvol=0.678572|rs_vs_spy=2.362868|gap_atr=-0.03157|ext_atr=0.231831|risk_atr=0.101951,209.98,26,5459.48,5.98,0.11,0,14.56,0.27,-9.36,-0.17,2459.73,9.84,6
347,Exit long,2026-09-03 15:50,sl1|exit_reason=eod|mfe_r=0.031977,211.35,19,4020.59,-4.94,-0.12,0,1.14,0.03,-24.13,-0.60,2454.79,9.82,5
347,Entry long,2026-09-03 15:25,sl1|setup=hod_break|side=long|grade=B|size=half|score=4|window=power|tier=neutral|rvol=0.736769|rs_vs_spy=3.215648|gap_atr=-0.03157|ext_atr=0.27685|risk_atr=0.132741,211.61,19,4020.59,-4.94,-0.12,0,1.14,0.03,-24.13,-0.60,2454.79,9.82,5
348,Exit long,2026-09-04 10:15,sl1|exit_reason=time|mfe_r=0.209244,214.66,14,3040.1,-34.86,-1.15,0,9.94,0.33,-34.86,-1.15,2419.93,9.68,6
348,Entry long,2026-09-04 09:45,sl1|setup=orb_break|side=long|grade=B|size=half|score=4|window=open|tier=neutral|rvol=0.973723|rs_vs_spy=3.328528|gap_atr=-0.040377|ext_atr=0.158233|risk_atr=0.187819,217.15,14,3040.1,-34.86,-1.15,0,9.94,0.33,-34.86,-1.15,2419.93,9.68,6
349,Exit long,2026-09-04 15:50,sl1|exit_reason=eod|mfe_r=2.352208,225.22,20,4391.8,112.6,2.56,0,115,2.62,-6.8,-0.15,2532.53,10.13,15
349,Entry long,2026-09-04 14:35,sl1|setup=hod_break|side=long|grade=B|size=half|score=4|window=power|tier=neutral|rvol=1.190388|rs_vs_spy=4.830459|gap_atr=-0.040377|ext_atr=0.179814|risk_atr=0.13206,219.59,20,4391.8,112.6,2.56,0,115,2.62,-6.8,-0.15,2532.53,10.13,15
350,Exit long,2026-09-08 11:45,sl1|exit_reason=trail|mfe_r=6.154309,249.52,47,11219.84,507.6,4.52,0,607.71,5.42,-98.23,-0.88,3040.13,12.16,24
