Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
26,Entry short,2026-06-08 09:55,sl1|setup=vwap_loss|side=short|grade=B|size=half|score=3|window=open|tier=core|rvol=1.500589|rs_vs_spy=0|gap_atr=0.77605|ext_atr=0.216518|risk_atr=0.266518,740.81,24,17779.44,-49.68,-0.28,0,4.56,0.03,-49.68,-0.28,-392.09,-1.57,6
27,Exit long,2026-06-11 15:50,sl1|exit_reason=eod|mfe_r=1.03877,738.29,16,11791.36,21.28,0.18,0,48.64,0.41,-3.36,-0.03,-370.81,-1.48,8
27,Entry long,2026-06-11 15:10,sl1|setup=hod_break|side=long|grade=B|size=half|score=4|window=power|tier=core|rvol=1.822948|rs_vs_spy=0|gap_atr=0.367256|ext_atr=0.672348|risk_atr=0.322943,736.96,16,11791.36,21.28,0.18,0,48.64,0.41,-3.36,-0.03,-370.81,-1.48,8
28,Exit short,2026-06-12 10:00,sl1|exit_reason=stop|mfe_r=0.362665,738.47,19,13982.48,-48.45,-0.35,0,16.91,0.12,-48.45,-0.35,-419.26,-1.68,4
28,Entry short,2026-06-12 09:40,sl1|setup=orb_break|side=short|grade=B|size=half|score=3|window=open|tier=core|rvol=1.639898|rs_vs_spy=0|gap_atr=0.311976|ext_atr=0.251354|risk_atr=0.26181,735.92,19,13982.48,-48.45,-0.35,0,16.91,0.12,-48.45,-0.35,-419.26,-1.68,4
29,Exit long,2026-06-15 10:05,sl1|exit_reason=be|mfe_r=1.319,753.06,65,48951.5,-2.6,-0.01,0,64.35,0.13,-33.8,-0.07,-421.86,-1.69,6
29,Entry long,2026-06-15 09:35,sl1|setup=orb_break|side=long|grade=B|size=half|score=4|window=open|tier=core|rvol=1.657431|rs_vs_spy=0|gap_atr=1.054155|ext_atr=0.036112|risk_atr=0.08,753.1,65,48951.5,-2.6,-0.01,0,64.35,0.13,-33.8,-0.07,-421.86,-1.69,6
30,Exit short,2026-07-23 09:50,sl1|exit_reason=be|mfe_r=0.772556,740.94,58,42940.88,-33.64,-0.08,0,37.12,0.09,-33.64,-0.08,-455.5,-1.82,1
30,Entry short,2026-07-23 09:45,sl1|setup=vwap_loss|side=short|grade=B|size=half|score=4|window=open|tier=core|rvol=1.637675|rs_vs_spy=0|gap_atr=-0.995367|ext_atr=0.057097|risk_atr=0.107097,740.36,58,42940.88,-33.64,-0.08,0,37.12,0.09,-33.64,-0.08,-455.5,-1.82,1
31,Exit short,2026-07-28 09:45,sl1|exit_reason=be|mfe_r=0.753913,737.55,35,25796.05,-18.2,-0.07,0,36.05,0.14,-19.95,-0.08,-473.7,-1.89,1
31,Entry short,2026-07-28 09:40,sl1|setup=orb_retest|side=short|grade=B|size=half|score=4|window=open|tier=core|rvol=1.713358|rs_vs_spy=0|gap_atr=0.018172|ext_atr=0.122182|risk_atr=0.168721,737.03,35,25796.05,-18.2,-0.07,0,36.05,0.14,-19.95,-0.08,-473.7,-1.89,1
32,Exit long,2026-07-30 10:15,sl1|exit_reason=be|mfe_r=1.054028,737.36,32,23596.8,-1.28,-0.01,0,51.2,0.22,-10.56,-0.04,-474.98,-1.90,6
32,Entry long,2026-07-30 09:45,sl1|setup=orb_retest|side=long|grade=B|size=half|score=4|window=open|tier=core|rvol=1.500224|rs_vs_spy=0|gap_atr=0.761193|ext_atr=0.167354|risk_atr=0.179988,737.4,32,23596.8,-1.28,-0.01,0,51.2,0.22,-10.56,-0.04,-474.98,-1.90,6
33,Exit short,2026-08-27 09:50,sl1|exit_reason=stop|mfe_r=0,768.58,99,76034.97,-54.45,-0.07,0,0,0.00,-54.45,-0.07,-529.43,-2.12,1
33,Entry short,2026-08-27 09:45,sl1|setup=vwap_loss|side=short|grade=B|size=half|score=3|window=open|tier=core|rvol=1.554957|rs_vs_spy=0|gap_atr=0.40033|ext_atr=0.021981|risk_atr=0.08,768.03,99,76034.97,-54.45,-0.07,0,0,0.00,-54.45,-0.07,-529.43,-2.12,1
34,Exit short,2026-09-10 10:00,sl1|exit_reason=be|mfe_r=0.979125,757.33,81,61340.49,-3.24,-0.01,0,46.98,0.08,-5.67,-0.01,-532.67,-2.13,2
34,Entry short,2026-09-10 09:50,sl1|setup=orb_break|side=short|grade=B|size=half|score=4|window=open|tier=core|rvol=1.718506|rs_vs_spy=0|gap_atr=-0.718315|ext_atr=0.132783|risk_atr=0.10119,757.29,81,61340.49,-3.24,-0.01,0,46.98,0.08,-5.67,-0.01,-532.67,-2.13,2
35,Exit short,2026-09-18 10:05,sl1|exit_reason=trail|mfe_r=3.811552,759.46,92,70001.88,131.56,0.19,0,187.68,0.27,-49.68,-0.07,-401.11,-1.60,6
35,Entry short,2026-09-18 09:35,sl1|setup=orb_break|side=short|grade=B|size=half|score=4|window=open|tier=core|rvol=1.537709|rs_vs_spy=0|gap_atr=-0.196868|ext_atr=0.030739|risk_atr=0.08,760.89,92,70001.88,131.56,0.19,0,187.68,0.27,-49.68,-0.07,-401.11,-1.60,6
